,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
119,frozenset({'The Blacklist'}),"frozenset({'Ozark', 'The Walking Dead'})",0.6428571428571429,0.38095238095238093,0.2619047619047619,0.4074074074074074,1.0694444444444444,0.017006802721088454,1.0446428571428572,0.18181818181818205
120,frozenset({'Ozark'}),"frozenset({'The Blacklist', 'The Walking Dead'})",0.7380952380952381,0.30952380952380953,0.2619047619047619,0.3548387096774194,1.1464019851116625,0.03344671201814059,1.0702380952380952,0.48760330578512406
103,frozenset({'Ozark'}),frozenset({'Queen of the South'}),0.7380952380952381,0.35714285714285715,0.2619047619047619,0.3548387096774194,0.9935483870967742,-0.0017006802721088454,0.9964285714285713,-0.0241935483870968
118,"frozenset({'Ozark', 'The Walking Dead'})",frozenset({'The Blacklist'}),0.38095238095238093,0.6428571428571429,0.2619047619047619,0.6875000000000001,1.0694444444444446,0.017006802721088454,1.142857142857143,0.10489510489510499
104,frozenset({'Ozark'}),frozenset({'The Wire'}),0.7380952380952381,0.35714285714285715,0.2619047619047619,0.3548387096774194,0.9935483870967742,-0.0017006802721088454,0.9964285714285713,-0.0241935483870968
117,"frozenset({'The Blacklist', 'The Walking Dead'})",frozenset({'Ozark'}),0.30952380952380953,0.7380952380952381,0.2619047619047619,0.8461538461538461,1.1464019851116625,0.03344671201814059,1.702380952380952,0.18495297805642633
92,frozenset({'Mr. Robot'}),frozenset({'Family Guy'}),0.5,0.4523809523809524,0.2619047619047619,0.5238095238095238,1.1578947368421053,0.035714285714285726,1.1500000000000001,0.2727272727272728
93,frozenset({'Family Guy'}),frozenset({'Mr. Robot'}),0.4523809523809524,0.5,0.2619047619047619,0.5789473684210527,1.1578947368421053,0.035714285714285726,1.1875,0.24901185770750991
94,"frozenset({'The Blacklist', 'Ozark'})",frozenset({'Shadow and Bone'}),0.5,0.47619047619047616,0.2619047619047619,0.5238095238095238,1.1,0.023809523809523836,1.1,0.18181818181818202
95,"frozenset({'The Blacklist', 'Shadow and Bone'})",frozenset({'Ozark'}),0.3333333333333333,0.7380952380952381,0.2619047619047619,0.7857142857142858,1.0645161290322582,0.015873015873015872,1.2222222222222225,0.0909090909090909
96,"frozenset({'Ozark', 'Shadow and Bone'})",frozenset({'The Blacklist'}),0.3333333333333333,0.6428571428571429,0.2619047619047619,0.7857142857142858,1.2222222222222223,0.047619047619047616,1.6666666666666672,0.2727272727272727
97,frozenset({'The Blacklist'}),"frozenset({'Ozark', 'Shadow and Bone'})",0.6428571428571429,0.3333333333333333,0.2619047619047619,0.4074074074074074,1.2222222222222223,0.047619047619047616,1.1250000000000002,0.5090909090909091
98,frozenset({'Ozark'}),"frozenset({'The Blacklist', 'Shadow and Bone'})",0.7380952380952381,0.3333333333333333,0.2619047619047619,0.3548387096774194,1.0645161290322582,0.015873015873015872,1.0333333333333334,0.23140495867768598
