,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,book_names,recomendation
0,frozenset({'The Blacklist'}),frozenset({'Ozark'}),0.6428571428571429,0.7380952380952381,0.5,0.7777777777777777,1.0537634408602148,0.02551020408163257,1.178571428571428,0.1428571428571424,['The Blacklist'],['Ozark']
1,frozenset({'Ozark'}),frozenset({'The Blacklist'}),0.7380952380952381,0.6428571428571429,0.5,0.6774193548387096,1.053763440860215,0.02551020408163257,1.1071428571428568,0.1948051948051942,['Ozark'],['The Blacklist']
2,frozenset({'Atypical'}),frozenset({'Ozark'}),0.5714285714285714,0.7380952380952381,0.4523809523809524,0.7916666666666667,1.0725806451612903,0.030612244897959162,1.2571428571428573,0.15789473684210514,['Atypical'],['Ozark']
3,frozenset({'Ozark'}),frozenset({'Atypical'}),0.7380952380952381,0.5714285714285714,0.4523809523809524,0.6129032258064516,1.0725806451612905,0.030612244897959162,1.1071428571428572,0.25837320574162664,['Ozark'],['Atypical']
4,frozenset({'Mr. Robot'}),frozenset({'Ozark'}),0.5,0.7380952380952381,0.42857142857142855,0.8571428571428571,1.161290322580645,0.05952380952380948,1.8333333333333324,0.27777777777777757,['Mr. Robot'],['Ozark']
5,frozenset({'Ozark'}),frozenset({'Mr. Robot'}),0.7380952380952381,0.5,0.42857142857142855,0.5806451612903225,1.161290322580645,0.05952380952380948,1.192307692307692,0.53030303030303,['Ozark'],['Mr. Robot']
6,frozenset({'The Blacklist'}),frozenset({'Atypical'}),0.6428571428571429,0.5714285714285714,0.42857142857142855,0.6666666666666666,1.1666666666666667,0.061224489795918324,1.2857142857142856,0.3999999999999998,['The Blacklist'],['Atypical']
7,frozenset({'Atypical'}),frozenset({'The Blacklist'}),0.5714285714285714,0.6428571428571429,0.42857142857142855,0.75,1.1666666666666665,0.061224489795918324,1.4285714285714284,0.3333333333333331,['Atypical'],['The Blacklist']
11,frozenset({'Family Guy'}),frozenset({'Atypical'}),0.4523809523809524,0.5714285714285714,0.38095238095238093,0.8421052631578947,1.4736842105263157,0.1224489795918367,2.7142857142857135,0.5869565217391303,['Family Guy'],['Atypical']
12,frozenset({'Ozark'}),frozenset({'The Walking Dead'}),0.7380952380952381,0.47619047619047616,0.38095238095238093,0.5161290322580645,1.0838709677419356,0.02947845804988658,1.0825396825396825,0.29545454545454514,['Ozark'],['The Walking Dead']
13,frozenset({'The Walking Dead'}),frozenset({'Ozark'}),0.47619047619047616,0.7380952380952381,0.38095238095238093,0.8,1.0838709677419356,0.02947845804988658,1.3095238095238095,0.1477272727272725,['The Walking Dead'],['Ozark']
10,frozenset({'Atypical'}),frozenset({'Family Guy'}),0.5714285714285714,0.4523809523809524,0.38095238095238093,0.6666666666666666,1.4736842105263157,0.1224489795918367,1.6428571428571428,0.7499999999999998,['Atypical'],['Family Guy']
9,frozenset({'Family Guy'}),frozenset({'Ozark'}),0.4523809523809524,0.7380952380952381,0.38095238095238093,0.8421052631578947,1.1409168081494057,0.0470521541950113,1.658730158730158,0.22554347826086937,['Family Guy'],['Ozark']
8,frozenset({'Ozark'}),frozenset({'Family Guy'}),0.7380952380952381,0.4523809523809524,0.38095238095238093,0.5161290322580645,1.1409168081494057,0.0470521541950113,1.1317460317460317,0.4715909090909088,['Ozark'],['Family Guy']
14,frozenset({'Ozark'}),frozenset({'Deception'}),0.7380952380952381,0.47619047619047616,0.35714285714285715,0.48387096774193544,1.0161290322580645,0.0056689342403628,1.0148809523809526,0.06060606060606048,['Ozark'],['Deception']
15,frozenset({'Deception'}),frozenset({'Ozark'}),0.47619047619047616,0.7380952380952381,0.35714285714285715,0.7500000000000001,1.0161290322580645,0.0056689342403628,1.047619047619048,0.030303030303030234,['Deception'],['Ozark']
16,frozenset({'Ozark'}),frozenset({'Berlin Station'}),0.7380952380952381,0.4523809523809524,0.35714285714285715,0.48387096774193544,1.0696095076400678,0.023242630385487517,1.0610119047619049,0.2484848484848484,['Ozark'],['Berlin Station']
17,frozenset({'Berlin Station'}),frozenset({'Ozark'}),0.4523809523809524,0.7380952380952381,0.35714285714285715,0.7894736842105263,1.0696095076400678,0.023242630385487517,1.2440476190476188,0.11884057971014486,['Berlin Station'],['Ozark']
27,frozenset({'Family Guy'}),frozenset({'The Blacklist'}),0.4523809523809524,0.6428571428571429,0.3333333333333333,0.7368421052631579,1.1461988304093567,0.042517006802721025,1.3571428571428568,0.23291925465838473,['Family Guy'],['The Blacklist']
35,frozenset({'Shadow and Bone'}),frozenset({'The Blacklist'}),0.47619047619047616,0.6428571428571429,0.3333333333333333,0.7,1.0888888888888888,0.02721088435374147,1.1904761904761902,0.1558441558441557,['Shadow and Bone'],['The Blacklist']
34,frozenset({'The Blacklist'}),frozenset({'Shadow and Bone'}),0.6428571428571429,0.47619047619047616,0.3333333333333333,0.5185185185185185,1.0888888888888888,0.02721088435374147,1.0879120879120878,0.2285714285714284,['The Blacklist'],['Shadow and Bone']
33,frozenset({'Deception'}),frozenset({'Atypical'}),0.47619047619047616,0.5714285714285714,0.3333333333333333,0.7,1.225,0.06122448979591838,1.4285714285714284,0.35064935064935077,['Deception'],['Atypical']
32,frozenset({'Atypical'}),frozenset({'Deception'}),0.5714285714285714,0.47619047619047616,0.3333333333333333,0.5833333333333334,1.225,0.06122448979591838,1.2571428571428573,0.42857142857142866,['Atypical'],['Deception']
